english	spanish	accepted_es	accepted_en	split
ive never been married	nunca estuve casado	nunca estuve casado	ive never been married	train
you look very pale	te ves muy pálido	te ves muy pálido	you look very pale	train
yes i went yesterday	sí fui ayer	sí fui ayer	yes i went yesterday	train
they are my sisters	ellas son mis hermanas	ellas son mis hermanas	they are my sisters	train
spring came on	ha llegado la primavera	ha llegado la primavera|la primavera llegó|llegó la primavera	spring arrived|spring came on|spring has come	train
he has a camera	él tiene una cámara	él tiene una cámara	he has a camera	train
you know i cant	saben que no puedo	saben que no puedo|sabes que no puedo	you know i cant	train
were here to help	estamos aquí para ayudar	estamos aquí para ayudar	were here to help	train
i dont want anything	no quiero nada	no quiero nada	i dont want anything	train
i need friends	necesito tener amigos	necesito tener amigos	i need friends	train
mike speaks good japanese	mike habla bien japonés	mike habla bien japonés	mike speaks good japanese	train
it doesnt matter anymore	ya no importa	ya no importa	it doesnt matter anymore	train
i am not hungry	no tengo hambre	no tengo hambre	i am not hungry|im not hungry	train
i only know that	sólo sé eso	sólo sé eso	i only know that	train
you may swim	puedes nadar	puedes nadar	you may swim	train
she is always smiling	ella siempre está sonriendo	ella siempre está sonriendo	she is always smiling	train
its good	está bien	es bueno|está bien	hes all right|its good|its ok|its okay|its right|thats fine|thats nice	train
we saw it	lo vimos	lo vimos	we saw it	train
i never said anything	nunca dije nada	nunca dije nada	i never said anything	train
i only speak french	yo solo hablo francés	yo solo hablo francés	i only speak french	train
you might be right	puede que tengas razón	puede que tengas razón|quizá tengas razón	maybe youre right|you may be right|you might be right	train
she died	ella murió	ella murió	she died	train
this food is delicious	esta comida está deliciosa	esta comida está deliciosa	this food is delicious	train
were going to fight	vamos a luchar	vamos a luchar	we will fight|well fight|were going to fight	train
toms great	tom es estupendo	tom es estupendo	toms great	train
he began to run	él empezó a correr	él empezó a correr	he began running|he began to run	train
one more time	otra vez	otra vez|una vez más	again|one more time	train
raise your hand	levanta la mano	levanta la mano	raise your hand	train
thanks for this	gracias por esto	gracias por esto	thank you for this|thanks for this	train
he left his wife	dejó a su esposa	abandonó a su mujer|dejó a su esposa|dejó a su mujer	he left his wife	train
weve gone too far	hemos ido demasiado lejos	hemos ido demasiado lejos	weve gone too far	train
tom is with us	tom está con nosotros	tom está con nosotros	tom is with us	train
he doesnt like writing	no le gusta escribir	no le gusta escribir	he doesnt like writing	train
tom is dying	tom está muriendo	tom está muriendo	tom is dying	train
this watch is broken	este reloj está roto	este reloj está roto	this clock is broken|this watch is broken	train
she cant sing	ella no puede cantar	ella no puede cantar	she cant sing	train
youre a big person	es una gran persona	es una gran persona	hes a big person|shes a big person|youre a big person	train
tom is still there	tom aún sigue ahí	tom aún sigue ahí	tom is still there	train
i dont speak japanese	no hablo japonés	no hablo japonés|yo no hablo japonés	i dont speak japanese	train
shes hungry	tiene hambre	tiene hambre	hes hungry|shes hungry	train
i respect you tom	te respeto tom	te respeto tom|tom yo te respeto	i respect you tom	train
somebody is lying here	aquí alguien está mintiendo	aquí alguien está mintiendo	somebody is lying here	train
im tired of writing	estoy cansada de escribir	estoy cansada de escribir	im tired of writing	train
tom will go first	tom irá primero	tom irá primero	tom will go first	train
im almost sure	estoy casi seguro	estoy casi segura|estoy casi seguro	im almost sure	train
you know everything	conoces todo	conoce todo|conocen todo|conoces todo|sabe todo|saben todo|sabes todo|tú conoces todo|tú sabes todo|usted conoce todo|usted sabe todo|ustedes conocen todo|ustedes saben todo	you know everything	train
she needs the money	ella necesita el dinero	ella necesita el dinero	she needs the money	train
youre the doctor	eres el médico	eres el médico	youre the doctor|youre the doctor !	train
i really appreciate it	realmente lo agradezco	de verdad lo aprecio|realmente lo agradezco|realmente lo aprecio	i really appreciate it	train
she slept	ella durmió	ella durmió	she slept	train
your story is sad	tu historia es triste	tu historia es triste	your story is sad	train
she was dead	estaba muerta	estaba muerta	she was dead	train
i saw the news	vi las noticias	vi las noticias	i saw the news	train
its very close	está muy cerca	está muy cerca	its very close	train
im working with you	estoy trabajando contigo	estoy trabajando contigo	im working with you	train
lets go eat	vamos a comer	vamos a comer|vámonos a comer	lets go eat|lets go to eat	train
tom couldnt see anything	tom no veía nada	tom no veía nada	tom could see nothing|tom couldnt see anything	train
she was pregnant	estaba embarazada	estaba embarazada	i was pregnant|she was pregnant	train
were too close	estamos demasiado cerca	estamos demasiado cerca	were too close	train
were still in boston	todavía estamos en boston	todavía estamos en boston	were still in boston	train
im going home now	ya voy a casa	ya voy a casa	im going home now	train
keep your hand still	no muevas la mano	no muevas la mano	keep your hand still	train
am i talented ?	¿ soy talentoso ?	¿ soy talentoso ?	am i talented ?	train
come again tomorrow	vuelve mañana	vuelve mañana	come again tomorrow|come back tomorrow	train
youre beautiful	eres guapa	eres guapa|sos hermosa	you are beautiful|youre beautiful|youre pretty	train
youre absolutely right !	tienes toda la razón	tienes toda la razón	you are absolutely correct|you are absolutely right|you are completely right|youre absolutely correct|youre absolutely right !|youre completely right	train
are they friends ?	¿ son amigos ?	¿ son amigos ?	are they friends ?	train
lets watch tv	veamos la televisión	veamos la televisión	lets watch tv	train
what else ?	¿ qué más ?	¿ qué más ?	what else ?	train
he slept all day	durmió todo el día	durmió todo el día	he slept all day	train
flowers do not talk	las flores no hablan	las flores no hablan	flowers do not talk	train
i walk	yo camino	yo camino	i walk	train
stop it hurts	para duele	para duele	stop it hurts	train
that really helped us	eso realmente nos ayudó	eso realmente nos ayudó	that really helped us	train
hes really angry	está realmente enfadado	está realmente enfadado	he is very angry|hes really angry|hes very angry	train
im leaving boston	me voy de boston	me voy de boston	im leaving boston	train
they need to study	ellos necesitan estudiar	ellos necesitan estudiar	they need to study	train
this is my wine	este es mi vino	este es mi vino	this is my wine	train
it was perfect !	¡ fue perfecto !	¡ fue perfecta !|¡ fue perfecto !	it was perfect !	train
hes thirsty	tiene sed	tiene sed	hes thirsty|shes thirsty	train
im home	estoy en casa	estoy en casa	i am at home|im at home|im home	train
hang on to it	guarda eso	guarda eso	hang on to it	train
mom bought apples	mamá compró manzanas	mamá compró manzanas	mom bought apples	train
he is still studying	él todavía estudia	él todavía estudia	he is still studying	train
this will be fun	esto será divertido	esto será divertido	this will be fun	train
they have black hair	tienen el pelo negro	tienen el pelo negro	they have black hair	train
were through	hemos terminado	hemos terminado	were through	train
youre very smart	son muy listos	eres muy inteligente|eres muy lista|eres muy listo|son muy inteligentes|son muy listos|sos muy inteligente|sos muy lista|sos muy listo	you are very smart|youre very clever|youre very smart	train
were studying french	estamos estudiando francés	estamos estudiando francés	were studying french	train
they cant stop it	ellos no pueden detenerlo	ellos no pueden detenerlo	they cannot stop it|they cant stop it	train
i dont drink water	no bebo agua	no bebo agua	i dont drink water	train
im having soup	tomo sopa	tomo sopa	im having soup	train
the house is clean	la casa está limpia	la casa está limpia	the house is clean	train
i am busy	estoy ocupada	estoy ocupada	i am busy	train
youre our only hope	eres nuestra única esperanza	eres nuestra única esperanza	youre our only hope	train
dont even ask	para qué te cuento	para qué te cuento	dont even ask	train
this is very interesting	es muy interesante	es muy interesante|esto es muy interesante	its very interesting|this is very interesting	train
they arent there	no están allí	no están allí	they arent there|theyre not there	train
its not monday	no es lunes	no es lunes	its not monday	train
im not sleepy	no tengo sueño	no tengo sueño	im not sleepy	train
nobody saw me	nadie me vio	nadie me vio	nobody saw me	train
i did my job	hice mi trabajo	hice mi trabajo	i did my job|i did my work	train
weve seen them	las hemos visto	las hemos visto|los hemos visto	weve seen them	train
something isnt right	algo no está bien	algo no está bien	something isnt right	train
it may be important	puede que sea importante	puede que sea importante|puede ser importante	it may be important	train
yes i understand you	sí os entiendo	sí os entiendo	yes i understand you	train
tom was naive	tomás era ingenuo	tomás era ingenuo	tom was naive	train
she speaks very slowly	habla muy despacio	habla muy despacio	he speaks very slowly|she speaks very slowly|you speak very slowly	train
you made tom cry	hiciste llorar a tom	hiciste llorar a tom	you made tom cry	train
im so fat	estoy tan gordo	estoy tan gorda|estoy tan gordo	im so fat|im very fat	train
life is wonderful	la vida es maravillosa	la vida es maravillosa	life is wonderful	train
no just one	no solo una	no solo una|no solo uno	no just one	train
how she talks !	¡ cómo habla !	¡ cómo habla !	how she talks !	train
